sliced_audio_path,description
/workspace/epidemic_audios/zippers/yujEXP3CcI.wav,zippers
/workspace/epidemic_audios/zippers/zLG5NsC4Oc.wav,zippers
/workspace/epidemic_audios/zippers/yX8U8OtyYF.wav,zippers
/workspace/epidemic_audios/zippers/uYp71C92QO.wav,zippers
/workspace/epidemic_audios/zippers/tlQxWNiB92.wav,zippers
/workspace/epidemic_audios/zippers/t5gcbKhL2l.wav,zippers
/workspace/epidemic_audios/zippers/rsvNlu0wtY.wav,zippers
/workspace/epidemic_audios/zippers/rEjr0RNzKP.wav,zippers
/workspace/epidemic_audios/zippers/pRNClzPaXl.wav,zippers
/workspace/epidemic_audios/zippers/pC1V9cV7X5.wav,zippers
/workspace/epidemic_audios/zippers/odtx6CnZnd.wav,zippers
/workspace/epidemic_audios/zippers/oRQ2WOQmLr.wav,zippers
/workspace/epidemic_audios/zippers/oCACt66wWJ.wav,zippers
/workspace/epidemic_audios/zippers/nPCBE7MXYj.wav,zippers
/workspace/epidemic_audios/zippers/mrpS8p53ma.wav,zippers
/workspace/epidemic_audios/zippers/m7mOj7LwuW.wav,zippers
/workspace/epidemic_audios/zippers/lfOs5HS5mw.wav,zippers
/workspace/epidemic_audios/zippers/jFkESoKkwJ.wav,zippers
/workspace/epidemic_audios/zippers/ibiEgM0Tk1.wav,zippers
/workspace/epidemic_audios/zippers/gZqwAmAhAe.wav,zippers
/workspace/epidemic_audios/zippers/gIjS9Hylww.wav,zippers
/workspace/epidemic_audios/zippers/fAiRjQdkV6.wav,zippers
/workspace/epidemic_audios/zippers/dr7Z0iecGX.wav,zippers
/workspace/epidemic_audios/zippers/cqNFP6jnra.wav,zippers
/workspace/epidemic_audios/zippers/cmDotXy9gN.wav,zippers
/workspace/epidemic_audios/zippers/akYCuR5W59.wav,zippers
/workspace/epidemic_audios/zippers/aC2L5FmTUF.wav,zippers
/workspace/epidemic_audios/zippers/Y6EklAFAlE.wav,zippers
/workspace/epidemic_audios/zippers/Y0QKaRh8qu.wav,zippers
/workspace/epidemic_audios/zippers/XpdLRpqrKP.wav,zippers
/workspace/epidemic_audios/zippers/UMam7r81Tp.wav,zippers
/workspace/epidemic_audios/zippers/SgVBbwrToc.wav,zippers
/workspace/epidemic_audios/zippers/RbALMu5Eyh.wav,zippers
/workspace/epidemic_audios/zippers/QopEeWP6mC.wav,zippers
/workspace/epidemic_audios/zippers/PV8GCAXAMv.wav,zippers
/workspace/epidemic_audios/zippers/PR4NcRnYqe.wav,zippers
/workspace/epidemic_audios/zippers/POTtDENqDX.wav,zippers
/workspace/epidemic_audios/zippers/PI1VzH80x1.wav,zippers
/workspace/epidemic_audios/zippers/PEtXfF1oDN.wav,zippers
/workspace/epidemic_audios/zippers/OlXCS52Zre.wav,zippers
/workspace/epidemic_audios/zippers/MyR0obxLsp.wav,zippers
/workspace/epidemic_audios/zippers/LU30LDcxTD.wav,zippers
/workspace/epidemic_audios/zippers/LEBs3OoAww.wav,zippers
/workspace/epidemic_audios/zippers/L4V256jJTp.wav,zippers
/workspace/epidemic_audios/zippers/KKTqg2IBP4.wav,zippers
/workspace/epidemic_audios/zippers/Jqie3qAdZi.wav,zippers
/workspace/epidemic_audios/zippers/J61peiW8Qw.wav,zippers
/workspace/epidemic_audios/zippers/H27d2IFQPW.wav,zippers
/workspace/epidemic_audios/zippers/FwPROfeh2M.wav,zippers
/workspace/epidemic_audios/zippers/FwIk6GoQyo.wav,zippers
/workspace/epidemic_audios/zippers/FQciclRbyV.wav,zippers
/workspace/epidemic_audios/zippers/EvtSyhmqJP.wav,zippers
/workspace/epidemic_audios/zippers/BuLxr68Q02.wav,zippers
/workspace/epidemic_audios/zippers/BAEp3H3k9u.wav,zippers
/workspace/epidemic_audios/zippers/AXBTVZzh4I.wav,zippers
/workspace/epidemic_audios/zippers/AQWSFBWie9.wav,zippers
/workspace/epidemic_audios/zippers/A6c4a1Sh0Z.wav,zippers
/workspace/epidemic_audios/zippers/9mIcZithXp.wav,zippers
/workspace/epidemic_audios/zippers/9CpgyQKp3A.wav,zippers
/workspace/epidemic_audios/zippers/7RopjdBPF2.wav,zippers
/workspace/epidemic_audios/zippers/6TWqDIFgGD.wav,zippers
/workspace/epidemic_audios/zippers/4dzWDMpb5U.wav,zippers
/workspace/epidemic_audios/zippers/2sFqiK55T6.wav,zippers
/workspace/epidemic_audios/wooden-drawer/zbfevVFVWH.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/zeiOGVdbSy.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/ym2kpmYmnZ.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/yWc2i5uVXK.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/yP7i7RTdgL.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/xqUjlmLKQC.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/x65n8wnmR5.wav,wooden-drawer
/workspace/epidemic_audios/wooden-drawer/xbhKnwbhWK.wav,wooden-drawer
