audio_path,caption
/workspace/data/roblox-audios/roblox_audio_423/9113935892.mp3,An electronic beep sound.
/workspace/data/roblox-audios/roblox_audio_423/9113935870.mp3,A digital beep sound.
/workspace/data/roblox-audios/roblox_audio_423/9113935869.mp3,"The sound of a single, sharp beep."
/workspace/data/roblox-audios/roblox_audio_423/9113935656.mp3,An electronic device emits a beep sound.
/workspace/data/roblox-audios/roblox_audio_423/9113935642.mp3,A digital beep.
/workspace/data/roblox-audios/roblox_audio_423/9113934982.mp3,A digital beep is sounding.
/workspace/data/roblox-audios/roblox_audio_423/9113934718.mp3,The sound of a digital beep emitted from an electronic device.
/workspace/data/roblox-audios/roblox_audio_423/9113934347.mp3,A brief electronic beep.
/workspace/data/roblox-audios/roblox_audio_423/9113933910.mp3,The sound of a digital beep.
/workspace/data/roblox-audios/roblox_audio_423/9113933784.mp3,The digital beep can be heard.
/workspace/data/roblox-audios/roblox_audio_423/9113933779.mp3,A digital beep sound.
/workspace/data/roblox-audios/roblox_audio_423/9113933387.mp3,There is a single beep.
/workspace/data/roblox-audios/roblox_audio_423/9113932737.mp3,A digital beep sound.
/workspace/data/roblox-audios/roblox_audio_423/9113932540.mp3,A digital beep.
/workspace/data/roblox-audios/roblox_audio_423/9113932427.mp3,A brief electronic beep sound.
/workspace/data/roblox-audios/roblox_audio_423/9113932379.mp3,A beep is sounding off.
/workspace/data/roblox-audios/roblox_audio_423/9113929114.mp3,"The sound of a wooden object being tapped against another wooden object, with the wooden plank being tapped against a wooden table and amplified by a microphone."
/workspace/data/roblox-audios/roblox_audio_423/9113867985.mp3,The sound of two metallic objects colliding with a sharp and resonant tone.
/workspace/data/roblox-audios/roblox_audio_423/9113649170.mp3,The sound of two metallic objects being tapped against each other.
/workspace/data/roblox-audios/roblox_audio_423/9113645419.mp3,The sound of metallic objects being rubbed against each other.
/workspace/data/roblox-audios/roblox_audio_423/9113533354.mp3,"Clear and crisp tapping of a small, hard object against a hard surface. No background noise."
/workspace/data/roblox-audios/roblox_audio_423/9113533012.mp3,"The audio captures the crisp and clear sound of someone snapping their fingers in mono, with no background noise. It can be used as a sound effect in a movie or a video game."
/workspace/data/roblox-audios/roblox_audio_423/9113532909.mp3,"The crisp sound of someone snapping their fingers in mono, with no background noise. The audio quality is medium."
/workspace/data/roblox-audios/roblox_audio_423/9113532901.mp3,The rhythmic sound of fingers snapping.
